Date,Impressions Envoyees,Key
09/01/2017,4 843,460208-15
09/01/2017,5 652,392466-15
09/01/2017,6 386,2437
09/01/2017,6 630,13359
09/01/2017,10 685,394166-2
09/01/2017,11 869,413522-10
09/01/2017,12 000,393178-57
09/01/2017,12 567,393322-10
09/01/2017,12 710,394154-57
09/01/2017,13 200,4567
09/01/2017,16 641,393178-10
09/01/2017,17 032,471996-10
09/01/2017,17 422,393342-15
09/01/2017,17 735,393322-57
09/01/2017,17 872,394166-88
09/01/2017,18 937,471996-58
09/01/2017,19 495,460206-10
09/01/2017,22 190,473098-15
09/01/2017,23 325,394008-57
09/01/2017,24 019,471998-10
09/01/2017,24 117,471998-2
09/01/2017,25 985,1802
09/01/2017,27 745,1113
09/01/2017,30 223,395228-10
09/01/2017,33 018,460206-57
09/01/2017,39 740,394024-15
09/01/2017,44 917,394008-10
09/01/2017,53 346,395228-57
09/01/2017,1 378 159,-
09/01/2017,3 401 644,-
10/01/2017,36,391854-57
10/01/2017,84,391890-15
10/01/2017,95,391854-10
10/01/2017,139,Newsweb-parallax_HandBall17
10/01/2017,1 027,8100
10/01/2017,1 350,4571
10/01/2017,1 663,452900-10
10/01/2017,1 935,452900-57
10/01/2017,2 339,test-alspaman-2
10/01/2017,3 014,393782-10
10/01/2017,3 151,393782-9
10/01/2017,3 276,393782-57
10/01/2017,4 477,392430-10
10/01/2017,4 592,394024-2
10/01/2017,4 669,392430-57
10/01/2017,4 676,460206-10
10/01/2017,5 774,392466-15
10/01/2017,6 239,460208-15
10/01/2017,6 839,473098-15
10/01/2017,6 992,13359
10/01/2017,7 129,2437
10/01/2017,10 890,394166-2
10/01/2017,12 345,413522-10
10/01/2017,12 724,393322-10
10/01/2017,13 321,394154-57
10/01/2017,13 374,Handball17_parallax
10/01/2017,14 662,4567
10/01/2017,14 667,393178-57
10/01/2017,15 770,1802
10/01/2017,17 242,393342-15
10/01/2017,17 603,393322-57
10/01/2017,18 698,394166-88
10/01/2017,19 207,393178-10
10/01/2017,21 841,395228-10
10/01/2017,25 228,471996-10
10/01/2017,26 226,395228-57
10/01/2017,27 313,394008-57
10/01/2017,28 025,471996-58
10/01/2017,29 673,1801
10/01/2017,33 715,471998-2
10/01/2017,34 224,471998-10
10/01/2017,38 760,1113
10/01/2017,41 424,460206-57
10/01/2017,46 911,394024-15
10/01/2017,51 284,394008-10
10/01/2017,1 415 419,-
10/01/2017,3 183 343,-
11/01/2017,1,4565
11/01/2017,21,391854-57
11/01/2017,33,Newsweb-parallax_HandBall17
11/01/2017,71,391890-15
11/01/2017,77,391854-10
11/01/2017,435,test-alspaman-2
11/01/2017,1 019,8100
11/01/2017,1 252,4571
11/01/2017,2 366,452900-10
11/01/2017,2 727,452900-57
11/01/2017,2 861,393782-10
11/01/2017,3 004,393782-9
11/01/2017,3 110,393782-57
11/01/2017,3 653,392430-10
