Date,Impressions Envoyees,Key
13/07/2017,482,13359
13/07/2017,493,523402-57
13/07/2017,528,4571
13/07/2017,536,477702-10
13/07/2017,615,477700-10
13/07/2017,778,529906-10
13/07/2017,824,529906-2
13/07/2017,832,4565
13/07/2017,928,393466-15
13/07/2017,997,569748-2
13/07/2017,1044,393466-2
13/07/2017,1105,392430-10
13/07/2017,1254,591326-2
13/07/2017,1272,591326-15
13/07/2017,1342,393782-10
13/07/2017,1355,392430-57
13/07/2017,1403,456346-57
13/07/2017,1447,393782-9
13/07/2017,1513,393782-57
13/07/2017,1522,392466-15
13/07/2017,1759,388229
13/07/2017,1804,389607
13/07/2017,1832,394024-2
13/07/2017,1882,569746-55
13/07/2017,1918,388228
13/07/2017,1979,393766-2
13/07/2017,2035,389606
13/07/2017,2305,529908-10
13/07/2017,3032,9779145002
13/07/2017,3154,1802
13/07/2017,3187,477700-57
13/07/2017,3394,393210-2
13/07/2017,3441,452900-10
13/07/2017,3451,529908-2
13/07/2017,3920,471996-58
13/07/2017,4189,452900-57
13/07/2017,4544,686600-15
13/07/2017,5024,477702-2
13/07/2017,6084,661430-15
13/07/2017,6214,393188-10
13/07/2017,6390,393178-57
13/07/2017,6399,394008-57
13/07/2017,6500,497122-2
13/07/2017,6556,471998-2
13/07/2017,6709,471998-10
13/07/2017,6759,684380-15
13/07/2017,7134,393178-10
13/07/2017,7650,686602-15
13/07/2017,7659,394024-15
13/07/2017,7771,393188-2
13/07/2017,8599,394166-2
13/07/2017,8809,413522-10
13/07/2017,9576,394154-57
13/07/2017,10035,2437
13/07/2017,12223,394008-10
13/07/2017,15807,393342-15
13/07/2017,16115,393322-10
13/07/2017,16346,393322-57
13/07/2017,16606,4566
13/07/2017,16731,1801
13/07/2017,17652,395228-10
13/07/2017,17933,394166-88
13/07/2017,18544,1113
13/07/2017,19178,471996-10
13/07/2017,19200,395228-57
13/07/2017,22257,497124-15
13/07/2017,28011,392902-15
13/07/2017,31778,392926-2
13/07/2017,35378,392902-57
13/07/2017,35886,4567
13/07/2017,524715,-
14/07/2017,1,661430-15
14/07/2017,3,393368-10
14/07/2017,3,393368-57
14/07/2017,12,392892-10
14/07/2017,34,523402-10
14/07/2017,38,456346-10
14/07/2017,51,392880-10
14/07/2017,57,684380-15
14/07/2017,68,2997471007
14/07/2017,73,523404-2
14/07/2017,116,569746-10
14/07/2017,123,569748-15
14/07/2017,138,395240-10
14/07/2017,150,395240-57
14/07/2017,205,523438-2
14/07/2017,215,523436-10
14/07/2017,228,523436-57
14/07/2017,236,13359
14/07/2017,262,477702-10
14/07/2017,295,477700-10
14/07/2017,323,8100
14/07/2017,389,4571
14/07/2017,576,529906-10
14/07/2017,607,529906-2
14/07/2017,613,523402-57
14/07/2017,666,569748-2
14/07/2017,801,388229
14/07/2017,809,393466-15
14/07/2017,852,389607
14/07/2017,920,591326-15
14/07/2017,921,591326-2
14/07/2017,925,393466-2
14/07/2017,1013,393782-10
14/07/2017,1020,392430-10
14/07/2017,1042,388228
14/07/2017,1048,456346-57
14/07/2017,1049,389606
14/07/2017,1083,393782-9
14/07/2017,1144,393782-57
14/07/2017,1235,569746-55
14/07/2017,1258,392430-57
14/07/2017,1370,394024-2
14/07/2017,1490,392466-15
14/07/2017,1587,4565
14/07/2017,1630,393766-2
14/07/2017,1641,529908-10
14/07/2017,2292,452900-10
14/07/2017,2430,529908-2
14/07/2017,2582,393210-2
14/07/2017,2627,477700-57
14/07/2017,2783,452900-57
14/07/2017,2907,9779145002
14/07/2017,3338,1802
14/07/2017,3373,477702-2
14/07/2017,3795,686600-15
14/07/2017,3819,394008-57
14/07/2017,4030,471996-58
14/07/2017,4725,394024-15
14/07/2017,5892,393188-10
14/07/2017,5893,393178-57
14/07/2017,6133,686602-15
14/07/2017,6215,471998-2
14/07/2017,6379,471998-10
14/07/2017,6512,393178-10
14/07/2017,7151,394008-10
14/07/2017,7392,393188-2
14/07/2017,8311,394166-2
14/07/2017,8499,413522-10
14/07/2017,8812,393342-15
14/07/2017,9022,393322-10
14/07/2017,9193,393322-57
14/07/2017,9263,394154-57
14/07/2017,9349,4566
14/07/2017,9637,2437
14/07/2017,10631,497122-2
14/07/2017,11539,1801
14/07/2017,12182,395228-10
14/07/2017,14075,395228-57
14/07/2017,17295,394166-88
14/07/2017,18197,1113
14/07/2017,19788,392902-15
14/07/2017,22086,392926-2
14/07/2017,24076,471996-10
14/07/2017,24494,497124-15
14/07/2017,24646,392902-57
14/07/2017,25078,4567
14/07/2017,432551,-
15/07/2017,3,393368-10
15/07/2017,3,393368-57
15/07/2017,8,392892-10
15/07/2017,32,684380-15
15/07/2017,41,523402-10
15/07/2017,52,2997471007
15/07/2017,52,392880-10
15/07/2017,79,569748-15
15/07/2017,80,456346-10
15/07/2017,87,569746-10
15/07/2017,95,395240-10
15/07/2017,95,523404-2
15/07/2017,109,395240-57
15/07/2017,129,523402-57
15/07/2017,196,13359
15/07/2017,235,523438-2
15/07/2017,244,523436-10
15/07/2017,257,523436-57
15/07/2017,310,477702-10
15/07/2017,338,477700-10
15/07/2017,341,4571
15/07/2017,429,8100
15/07/2017,623,569748-2
15/07/2017,786,393466-15
15/07/2017,881,393466-2
15/07/2017,885,393782-10
15/07/2017,913,394024-2
15/07/2017,933,529906-10
15/07/2017,964,393782-9
15/07/2017,998,393782-57
15/07/2017,1004,529906-2
15/07/2017,1180,569746-55
15/07/2017,1223,591326-2
15/07/2017,1282,591326-15
15/07/2017,1337,389607
15/07/2017,1355,388229
15/07/2017,1398,456346-57
15/07/2017,1432,388228
15/07/2017,1498,4565
15/07/2017,1501,389606
15/07/2017,1524,392430-10
15/07/2017,1525,393766-2
15/07/2017,1727,477700-57
15/07/2017,1892,392430-57
15/07/2017,2101,392466-15
15/07/2017,2120,452900-10
15/07/2017,2209,477702-2
15/07/2017,2367,529908-10
15/07/2017,2427,394008-57
15/07/2017,2585,452900-57
15/07/2017,2682,393210-2
15/07/2017,2950,497122-2
